          Teff = 3500 K,  log g = 0.0,  [M/H] = -5.0

 Bessell        UX   17    0.243 (0.0841)    0.402  0.239 (0.0181)   -0.115  0.597 (0.0066)
 Bessell        BX   18    0.227 (0.0906)    0.397  0.255 (0.0205)   -0.155  0.638 (0.0083)
 Bessell        B    19    0.227 (0.0908)    0.398  0.255 (0.0205)   -0.156  0.639 (0.0083)
 Bessell        V    20    0.196 (0.0810)    0.346  0.225 (0.0200)   -0.141  0.562 (0.0093)
 Bessell        R    21    0.172 (0.0725)    0.304  0.198 (0.0194)   -0.125  0.496 (0.0099)
 Bessell        I    22    0.144 (0.0609)    0.253  0.164 (0.0176)   -0.102  0.410 (0.0099)
 Tycho         TyB   23    0.229 (0.0910)    0.400  0.256 (0.0205)   -0.155  0.641 (0.0082)
               TyV   24    0.202 (0.0826)    0.355  0.230 (0.0202)   -0.143  0.574 (0.0092)
 Hipparchos    HIP   25    0.215 (0.0863)    0.377  0.242 (0.0202)   -0.147  0.604 (0.0087)
 KEPLER              26    0.193 (0.0793)    0.340  0.220 (0.0198)   -0.136  0.549 (0.0093)
 COROT SIS           27    0.199 (0.0808)    0.349  0.225 (0.0198)   -0.138  0.562 (0.0091)
 COROT EXO           28    0.198 (0.0803)    0.346  0.223 (0.0198)   -0.137  0.558 (0.0091)
 Geneva         U    29    0.252 (0.0828)    0.410  0.237 (0.0171)   -0.103  0.591 (0.0058)
                B    30    0.229 (0.0914)    0.401  0.257 (0.0206)   -0.157  0.644 (0.0082)
                B1   31    0.229 (0.0921)    0.402  0.259 (0.0207)   -0.160  0.649 (0.0082)
                B2   32    0.226 (0.0898)    0.395  0.252 (0.0205)   -0.152  0.631 (0.0084)
                V    33    0.196 (0.0810)    0.347  0.225 (0.0200)   -0.141  0.563 (0.0093)
                V1   34    0.199 (0.0816)    0.350  0.227 (0.0201)   -0.142  0.567 (0.0092)
                G    35    0.184 (0.0782)    0.328  0.216 (0.0199)   -0.141  0.540 (0.0096)
 Vilnius        U    36    0.253 (0.0830)    0.411  0.237 (0.0171)   -0.103  0.593 (0.0057)
                P    37    0.228 (0.0837)    0.385  0.235 (0.0193)   -0.125  0.589 (0.0080)
                X    38    0.232 (0.0932)    0.407  0.263 (0.0206)   -0.163  0.658 (0.0080)
                Y    39    0.222 (0.0883)    0.387  0.248 (0.0204)   -0.150  0.619 (0.0085)
                Z    40    0.206 (0.0835)    0.361  0.233 (0.0201)   -0.144  0.583 (0.0090)
                V    41    0.197 (0.0808)    0.347  0.224 (0.0200)   -0.139  0.561 (0.0093)
                S    42    0.166 (0.0700)    0.292  0.190 (0.0193)   -0.120  0.475 (0.0102)
 Milone         iz   43    0.122 (0.0550)    0.219  0.146 (0.0169)   -0.097  0.365 (0.0100)
                iJ   44    0.106 (0.0477)    0.190  0.126 (0.0151)   -0.083  0.315 (0.0092)
                iH   45    0.084 (0.0381)    0.150  0.099 (0.0129)   -0.064  0.248 (0.0083)
                iK   46    0.067 (0.0310)    0.120  0.079 (0.0110)   -0.053  0.199 (0.0072)
 YMS94         iz    47    0.122 (0.0550)    0.219  0.146 (0.0169)   -0.097  0.365 (0.0100)
               iJ    48    0.106 (0.0477)    0.190  0.126 (0.0151)   -0.083  0.315 (0.0092)
               iH    49    0.084 (0.0382)    0.150  0.099 (0.0129)   -0.064  0.248 (0.0083)
               iK    50    0.067 (0.0310)    0.120  0.079 (0.0110)   -0.052  0.199 (0.0072)
               iL    51    0.047 (0.0205)    0.080  0.049 (0.0086)   -0.026  0.122 (0.0063)
               iLp   52    0.042 (0.0200)    0.075  0.049 (0.0080)   -0.031  0.122 (0.0058)
               iM    53    0.033 (0.0175)    0.062  0.043 (0.0070)   -0.031  0.107 (0.0049)
               in    54    0.022 (0.0130)    0.045  0.034 (0.0043)   -0.028  0.084 (0.0027)
               iN    55    0.021 (0.0122)    0.042  0.032 (0.0039)   -0.026  0.079 (0.0024)
 Sloan DSS      u    56    0.248 (0.0834)    0.406  0.238 (0.0176)   -0.109  0.594 (0.0062)
                g    57    0.219 (0.0878)    0.383  0.246 (0.0204)   -0.150  0.615 (0.0086)
                r    58    0.177 (0.0743)    0.312  0.204 (0.0196)   -0.129  0.509 (0.0099)
                i    59    0.151 (0.0634)    0.265  0.171 (0.0180)   -0.106  0.428 (0.0099)
                z    60    0.128 (0.0575)    0.230  0.153 (0.0174)   -0.102  0.384 (0.0102)
 HST STIS Ly_alpha   61    0.521 (0.0847)    0.709  0.281 (0.0066)    0.099  0.703 (0.0196)
            Fclear   62    0.491 (0.0924)    0.692  0.301 (0.0044)    0.039  0.753 (0.0176)
             Fsrf2   63    0.471 (0.0974)    0.680  0.314 (0.0035)    0.000  0.784 (0.0160)
              Fqtz   64    0.442 (0.1023)    0.659  0.324 (0.0042)   -0.044  0.811 (0.0135)
              CIII   65    0.380 (0.1062)    0.597  0.326 (0.0096)   -0.109  0.814 (0.0068)
              MgII   66    0.301 (0.0929)    0.483  0.273 (0.0154)   -0.108  0.681 (0.0023)
            Nclear   67    0.417 (0.0984)    0.622  0.308 (0.0057)   -0.045  0.770 (0.0100)
             Nsrf2   68    0.392 (0.1009)    0.599  0.312 (0.0080)   -0.076  0.779 (0.0076)
              Nqtz   69    0.381 (0.1015)    0.589  0.312 (0.0091)   -0.086  0.779 (0.0065)
             cn182   70    0.411 (0.1030)    0.626  0.321 (0.0065)   -0.071  0.803 (0.0100)
             cn270   71    0.313 (0.0943)    0.498  0.278 (0.0150)   -0.104  0.694 (0.0016)
            Oclear   72    0.225 (0.0835)    0.382  0.236 (0.0186)   -0.128  0.589 (0.0073)
         Oclear-lp   73    0.163 (0.0692)    0.289  0.189 (0.0189)   -0.119  0.471 (0.0099)
             [OII]   74    0.219 (0.0781)    0.363  0.216 (0.0197)   -0.106  0.541 (0.0094)
            [OIII]   75    0.208 (0.0833)    0.362  0.232 (0.0202)   -0.140  0.579 (0.0092)
 2MASS          J    76    0.107 (0.0483)    0.192  0.128 (0.0152)   -0.084  0.319 (0.0092)
 2MASS          H    77    0.084 (0.0381)    0.150  0.099 (0.0129)   -0.064  0.247 (0.0082)
 2MASS          Ks   78    0.068 (0.0316)    0.123  0.081 (0.0111)   -0.054  0.203 (0.0073)
 SWASP               79    0.206 (0.0835)    0.361  0.233 (0.0201)   -0.143  0.581 (0.0090)
 MOST                80    0.203 (0.0824)    0.356  0.229 (0.0201)   -0.141  0.573 (0.0091)
 GAIA (2006)    G    81    0.203 (0.0817)    0.355  0.228 (0.0198)   -0.138  0.569 (0.0089)
 GAIA (2010)    G    82    0.197 (0.0798)    0.345  0.222 (0.0197)   -0.135  0.554 (0.0091)
 GAIA (2010)    BP   83    0.211 (0.0841)    0.367  0.235 (0.0200)   -0.142  0.587 (0.0087)
 GAIA (2010)    RP   84    0.150 (0.0637)    0.265  0.172 (0.0182)   -0.108  0.430 (0.0100)
 GAIA (2010)  G_RV   85    0.131 (0.0562)    0.231  0.151 (0.0168)   -0.095  0.376 (0.0097)
 Milone        230   86    0.353 (0.0997)    0.553  0.300 (0.0122)   -0.097  0.751 (0.0026)
               250   87    0.331 (0.0972)    0.524  0.290 (0.0137)   -0.104  0.724 (0.0006)
               270   88    0.312 (0.0940)    0.496  0.277 (0.0151)   -0.103  0.692 (0.0018)
               290   89    0.293 (0.0915)    0.472  0.267 (0.0158)   -0.108  0.669 (0.0029)
               310   90    0.277 (0.0878)    0.447  0.254 (0.0165)   -0.104  0.635 (0.0043)
               330   91    0.262 (0.0850)    0.424  0.244 (0.0170)   -0.105  0.610 (0.0052)
 CaII triplet  858   92    0.131 (0.0553)    0.230  0.148 (0.0166)   -0.091  0.370 (0.0096)
 WIRE  Johnson V+R   93    0.182 (0.0755)    0.320  0.208 (0.0195)   -0.130  0.519 (0.0096)
               LUT   94    0.302 (0.0925)    0.483  0.272 (0.0153)   -0.106  0.679 (0.0022)
              TESS   95    0.157 (0.0661)    0.276  0.179 (0.0185)   -0.112  0.448 (0.0100)


          Teff = 34000 K,  log g = 5.0,  [M/H] = -5.0

 bolometric           0    0.499 (0.0886)    0.686  0.281 (0.0036)    0.077  0.703 (0.0118)
 Stromgren      u     1    0.247 (0.0769)    0.393  0.220 (0.0155)   -0.084  0.551 (0.0049)
                v     2    0.225 (0.0852)    0.385  0.240 (0.0190)   -0.136  0.601 (0.0075)
                b     3    0.215 (0.0806)    0.366  0.226 (0.0184)   -0.124  0.566 (0.0075)
                y     4    0.191 (0.0727)    0.326  0.203 (0.0171)   -0.115  0.509 (0.0074)
 Johnson        U     5    0.234 (0.0773)    0.381  0.220 (0.0165)   -0.095  0.549 (0.0059)
                B     6    0.219 (0.0828)    0.374  0.233 (0.0188)   -0.131  0.583 (0.0076)
                V     7    0.191 (0.0730)    0.327  0.204 (0.0172)   -0.115  0.511 (0.0074)
                R     8    0.163 (0.0623)    0.278  0.173 (0.0156)   -0.096  0.431 (0.0073)
                I     9    0.132 (0.0515)    0.227  0.141 (0.0136)   -0.080  0.354 (0.0068)
                J    10    0.105 (0.0420)    0.181  0.114 (0.0116)   -0.067  0.286 (0.0062)
                K    11    0.068 (0.0269)    0.115  0.072 (0.0082)   -0.040  0.179 (0.0048)
                L    12    0.049 (0.0187)    0.080  0.047 (0.0067)   -0.023  0.118 (0.0044)
                M    13    0.035 (0.0155)    0.062  0.040 (0.0053)   -0.024  0.099 (0.0035)
                N    14    0.023 (0.0113)    0.043  0.030 (0.0034)   -0.022  0.075 (0.0020)
 Cousins        Rc   15    0.167 (0.0644)    0.286  0.179 (0.0159)   -0.101  0.447 (0.0074)
                Ic   16    0.142 (0.0541)    0.241  0.149 (0.0139)   -0.081  0.372 (0.0068)
 Bessell        UX   17    0.238 (0.0776)    0.386  0.221 (0.0163)   -0.093  0.553 (0.0057)
 Bessell        BX   18    0.219 (0.0827)    0.374  0.233 (0.0187)   -0.131  0.582 (0.0076)
 Bessell        B    19    0.219 (0.0829)    0.374  0.233 (0.0188)   -0.131  0.583 (0.0076)
 Bessell        V    20    0.191 (0.0729)    0.327  0.204 (0.0172)   -0.115  0.510 (0.0074)
 Bessell        R    21    0.167 (0.0644)    0.286  0.179 (0.0159)   -0.101  0.447 (0.0074)
 Bessell        I    22    0.140 (0.0533)    0.237  0.147 (0.0138)   -0.080  0.367 (0.0068)
 Tycho         TyB   23    0.221 (0.0830)    0.376  0.234 (0.0187)   -0.130  0.584 (0.0075)
               TyV   24    0.195 (0.0744)    0.334  0.208 (0.0175)   -0.117  0.521 (0.0076)
 Hipparchos    HIP   25    0.208 (0.0783)    0.355  0.220 (0.0180)   -0.122  0.550 (0.0075)
 KEPLER              26    0.188 (0.0713)    0.320  0.199 (0.0170)   -0.111  0.498 (0.0074)
 COROT SIS           27    0.193 (0.0729)    0.329  0.204 (0.0171)   -0.113  0.510 (0.0074)
 COROT EXO           28    0.191 (0.0724)    0.326  0.202 (0.0171)   -0.112  0.506 (0.0074)
 Geneva         U    29    0.249 (0.0774)    0.397  0.222 (0.0156)   -0.084  0.555 (0.0049)
                B    30    0.220 (0.0833)    0.376  0.234 (0.0189)   -0.132  0.586 (0.0076)
                B1   31    0.219 (0.0836)    0.376  0.235 (0.0190)   -0.134  0.589 (0.0077)
                B2   32    0.219 (0.0821)    0.373  0.231 (0.0186)   -0.127  0.577 (0.0075)
                V    33    0.191 (0.0730)    0.327  0.204 (0.0171)   -0.115  0.511 (0.0074)
                V1   34    0.193 (0.0736)    0.331  0.206 (0.0172)   -0.116  0.516 (0.0073)
                G    35    0.179 (0.0699)    0.309  0.195 (0.0167)   -0.113  0.488 (0.0074)
 Vilnius        U    36    0.250 (0.0777)    0.398  0.223 (0.0156)   -0.084  0.557 (0.0049)
                P    37    0.222 (0.0755)    0.365  0.213 (0.0169)   -0.098  0.534 (0.0066)
                X    38    0.221 (0.0852)    0.381  0.240 (0.0191)   -0.140  0.601 (0.0076)
                Y    39    0.216 (0.0806)    0.367  0.227 (0.0183)   -0.124  0.567 (0.0074)
                Z    40    0.200 (0.0755)    0.341  0.212 (0.0175)   -0.118  0.529 (0.0074)
                V    41    0.191 (0.0729)    0.327  0.204 (0.0171)   -0.115  0.510 (0.0074)
                S    42    0.158 (0.0618)    0.272  0.170 (0.0157)   -0.097  0.426 (0.0076)
 Milone         iz   43    0.118 (0.0472)    0.203  0.128 (0.0130)   -0.075  0.320 (0.0069)
                iJ   44    0.103 (0.0409)    0.177  0.111 (0.0113)   -0.065  0.278 (0.0060)
                iH   45    0.083 (0.0323)    0.141  0.087 (0.0093)   -0.048  0.218 (0.0052)
                iK   46    0.065 (0.0262)    0.112  0.070 (0.0080)   -0.039  0.175 (0.0047)
 YMS94         iz    47    0.118 (0.0472)    0.203  0.128 (0.0130)   -0.075  0.320 (0.0069)
               iJ    48    0.103 (0.0409)    0.177  0.111 (0.0113)   -0.065  0.278 (0.0060)
               iH    49    0.083 (0.0323)    0.141  0.087 (0.0093)   -0.048  0.218 (0.0052)
               iK    50    0.065 (0.0262)    0.112  0.070 (0.0080)   -0.039  0.175 (0.0047)
               iL    51    0.047 (0.0174)    0.076  0.043 (0.0066)   -0.016  0.107 (0.0046)
               iLp   52    0.042 (0.0170)    0.071  0.043 (0.0061)   -0.022  0.107 (0.0041)
               iM    53    0.033 (0.0148)    0.058  0.037 (0.0053)   -0.023  0.094 (0.0035)
               in    54    0.023 (0.0115)    0.043  0.031 (0.0034)   -0.023  0.077 (0.0019)
               iN    55    0.022 (0.0108)    0.041  0.029 (0.0031)   -0.022  0.072 (0.0017)
 Sloan DSS      u    56    0.244 (0.0774)    0.392  0.221 (0.0159)   -0.088  0.553 (0.0053)
                g    57    0.212 (0.0799)    0.362  0.224 (0.0183)   -0.125  0.561 (0.0075)
                r    58    0.171 (0.0661)    0.294  0.184 (0.0162)   -0.104  0.459 (0.0075)
                i    59    0.146 (0.0558)    0.249  0.154 (0.0143)   -0.085  0.385 (0.0069)
                z    60    0.124 (0.0494)    0.214  0.135 (0.0132)   -0.079  0.338 (0.0068)
 HST STIS Ly_alpha   61    0.520 (0.1026)    0.742  0.334 (0.0050)    0.019  0.834 (0.0194)
            Fclear   62    0.492 (0.1074)    0.721  0.344 (0.0038)   -0.024  0.860 (0.0166)
             Fsrf2   63    0.472 (0.1102)    0.705  0.349 (0.0046)   -0.052  0.873 (0.0145)
              Fqtz   64    0.446 (0.1117)    0.679  0.349 (0.0067)   -0.077  0.872 (0.0113)
              CIII   65    0.385 (0.1087)    0.605  0.330 (0.0117)   -0.111  0.826 (0.0046)
              MgII   66    0.301 (0.0890)    0.474  0.260 (0.0154)   -0.089  0.650 (0.0029)
            Nclear   67    0.420 (0.1054)    0.638  0.327 (0.0078)   -0.070  0.816 (0.0086)
             Nsrf2   68    0.395 (0.1051)    0.610  0.322 (0.0101)   -0.087  0.804 (0.0059)
              Nqtz   69    0.385 (0.1045)    0.597  0.318 (0.0111)   -0.092  0.795 (0.0047)
             cn182   70    0.416 (0.1090)    0.640  0.336 (0.0089)   -0.089  0.841 (0.0080)
             cn270   71    0.312 (0.0909)    0.490  0.266 (0.0153)   -0.087  0.665 (0.0025)
            Oclear   72    0.220 (0.0766)    0.365  0.217 (0.0166)   -0.106  0.543 (0.0062)
         Oclear-lp   73    0.159 (0.0612)    0.271  0.169 (0.0153)   -0.095  0.423 (0.0073)
             [OII]   74    0.220 (0.0685)    0.349  0.193 (0.0156)   -0.070  0.483 (0.0064)
            [OIII]   75    0.201 (0.0755)    0.342  0.211 (0.0177)   -0.116  0.529 (0.0076)
 2MASS          J    76    0.104 (0.0414)    0.179  0.113 (0.0114)   -0.065  0.282 (0.0061)
 2MASS          H    77    0.083 (0.0323)    0.141  0.087 (0.0094)   -0.048  0.218 (0.0053)
 2MASS          Ks   78    0.067 (0.0268)    0.115  0.072 (0.0081)   -0.040  0.179 (0.0047)
 SWASP               79    0.199 (0.0755)    0.340  0.211 (0.0176)   -0.118  0.528 (0.0075)
 MOST                80    0.197 (0.0745)    0.336  0.208 (0.0175)   -0.116  0.521 (0.0075)
 GAIA (2006)    G    81    0.197 (0.0738)    0.335  0.207 (0.0172)   -0.113  0.517 (0.0073)
 GAIA (2010)    G    82    0.191 (0.0719)    0.325  0.201 (0.0170)   -0.111  0.503 (0.0073)
 GAIA (2010)    BP   83    0.204 (0.0762)    0.347  0.214 (0.0176)   -0.117  0.535 (0.0073)
 GAIA (2010)    RP   84    0.145 (0.0558)    0.248  0.154 (0.0144)   -0.085  0.384 (0.0071)
 GAIA (2010)  G_RV   85    0.128 (0.0486)    0.218  0.134 (0.0125)   -0.073  0.336 (0.0061)
 Milone        230   86    0.355 (0.0988)    0.552  0.295 (0.0137)   -0.087  0.737 (0.0008)
               250   87    0.332 (0.0949)    0.519  0.281 (0.0146)   -0.089  0.702 (0.0011)
               270   88    0.311 (0.0906)    0.488  0.265 (0.0154)   -0.086  0.662 (0.0027)
               290   89    0.292 (0.0873)    0.461  0.254 (0.0155)   -0.089  0.635 (0.0033)
               310   90    0.275 (0.0832)    0.435  0.241 (0.0157)   -0.086  0.602 (0.0041)
               330   91    0.258 (0.0801)    0.412  0.230 (0.0157)   -0.087  0.576 (0.0046)
 CaII triplet  858   92    0.130 (0.0480)    0.218  0.133 (0.0122)   -0.070  0.332 (0.0059)
 WIRE  Johnson V+R   93    0.176 (0.0674)    0.302  0.188 (0.0163)   -0.105  0.470 (0.0074)
               LUT   94    0.301 (0.0889)    0.474  0.260 (0.0153)   -0.089  0.650 (0.0028)
              TESS   95    0.152 (0.0582)    0.259  0.161 (0.0149)   -0.089  0.401 (0.0072)


          Teff = 35000 K,  log g = 4.0,  [M/H] = -5.0

 bolometric           0    0.524 (0.0543)    0.637  0.170 (0.0032)    0.269  0.424 (0.0055)
 Stromgren      u     1    0.243 (0.0937)    0.419  0.264 (0.0208)   -0.153  0.661 (0.0082)
                v     2    0.239 (0.1036)    0.434  0.292 (0.0228)   -0.199  0.730 (0.0087)
                b     3    0.221 (0.1009)    0.409  0.282 (0.0236)   -0.202  0.705 (0.0100)
                y     4    0.197 (0.0948)    0.370  0.260 (0.0247)   -0.194  0.650 (0.0123)
 Johnson        U     5    0.237 (0.0963)    0.418  0.271 (0.0218)   -0.169  0.677 (0.0088)
                B     6    0.231 (0.1025)    0.423  0.288 (0.0231)   -0.200  0.719 (0.0093)
                V     7    0.197 (0.0951)    0.371  0.261 (0.0248)   -0.195  0.653 (0.0123)
                R     8    0.169 (0.0852)    0.321  0.228 (0.0251)   -0.173  0.570 (0.0142)
                I     9    0.138 (0.0744)    0.267  0.194 (0.0247)   -0.152  0.484 (0.0155)
                J    10    0.110 (0.0629)    0.217  0.160 (0.0228)   -0.129  0.399 (0.0153)
                K    11    0.068 (0.0422)    0.136  0.102 (0.0177)   -0.084  0.254 (0.0129)
                L    12    0.046 (0.0303)    0.093  0.070 (0.0137)   -0.059  0.176 (0.0104)
                M    13    0.033 (0.0245)    0.072  0.058 (0.0108)   -0.053  0.144 (0.0081)
                N    14    0.022 (0.0170)    0.050  0.042 (0.0065)   -0.041  0.105 (0.0045)
 Cousins        Rc   15    0.173 (0.0873)    0.329  0.235 (0.0252)   -0.179  0.587 (0.0141)
                Ic   16    0.147 (0.0763)    0.280  0.200 (0.0246)   -0.154  0.500 (0.0151)
 Bessell        UX   17    0.240 (0.0960)    0.420  0.270 (0.0215)   -0.166  0.676 (0.0085)
 Bessell        BX   18    0.231 (0.1024)    0.422  0.287 (0.0232)   -0.200  0.718 (0.0093)
 Bessell        B    19    0.231 (0.1025)    0.423  0.288 (0.0231)   -0.200  0.719 (0.0093)
 Bessell        V    20    0.196 (0.0951)    0.370  0.261 (0.0248)   -0.195  0.652 (0.0123)
 Bessell        R    21    0.173 (0.0873)    0.329  0.235 (0.0252)   -0.179  0.586 (0.0140)
 Bessell        I    22    0.144 (0.0758)    0.277  0.198 (0.0246)   -0.153  0.496 (0.0152)
 Tycho         TyB   23    0.234 (0.1027)    0.426  0.289 (0.0230)   -0.199  0.722 (0.0090)
               TyV   24    0.202 (0.0964)    0.379  0.266 (0.0246)   -0.196  0.664 (0.0118)
 Hipparchos    HIP   25    0.218 (0.0990)    0.401  0.276 (0.0237)   -0.196  0.689 (0.0104)
 KEPLER              26    0.194 (0.0931)    0.364  0.255 (0.0245)   -0.188  0.638 (0.0123)
 COROT SIS           27    0.201 (0.0943)    0.374  0.259 (0.0242)   -0.188  0.649 (0.0117)
 COROT EXO           28    0.199 (0.0938)    0.371  0.258 (0.0242)   -0.188  0.645 (0.0118)
 Geneva         U    29    0.245 (0.0942)    0.422  0.266 (0.0208)   -0.154  0.665 (0.0080)
                B    30    0.234 (0.1030)    0.427  0.290 (0.0230)   -0.201  0.724 (0.0090)
                B1   31    0.236 (0.1035)    0.430  0.292 (0.0229)   -0.201  0.729 (0.0088)
                B2   32    0.228 (0.1020)    0.419  0.286 (0.0233)   -0.201  0.715 (0.0095)
                V    33    0.196 (0.0951)    0.370  0.261 (0.0248)   -0.195  0.653 (0.0123)
                V1   34    0.199 (0.0957)    0.374  0.263 (0.0247)   -0.196  0.658 (0.0121)
